Orbital Period,Planetary Radius,Transit Duration,Transit Depth, Star’s Effective Temperature, Star’s Radius, Star’s Surface Gravity, Disposition
27.2149622,8.3475973,3.7190483,4731.4046225,6270.0,0.989667,4.54537,FP
19.1807264,2.4311768,3.9621084,544.5602695,5262.4,0.937973,3.98,PC
1.2124493,0.879419,0.9984653,501.2911711,3751.0,0.518,4.75718,PC
4.5541831,0.8887417,7.8146963,187.8286128,4280.0,0.635812,4.61209,PC
41.4856125,12.5121956,6.6899368,959.7522291,6354.0,3.4868701,4.24472,PC
13.7738265,1.8971927,2.9992376,338.2166234,5455.96,1.01825,4.46737,PC
1.9142544,2.04421,3.256,248.0,6734.0,1.59,4.18582,PC
5.0780325,2.6347763,1.2100353,5923.1283069,3318.0,0.334125,4.9581,CP
70.3607265,8.2807306,1.0325441,1353.9678246,6308.0,2.0982201,3.98679,APC
91.6827832,3.239855,9.7504857,713.2183569,5802.0,1.01814,4.44521,CP
10.1944993,2.7392825,2.2648785,317.3261147,6082.0,1.32661,4.33287,PC
14.64319,3.41248,2.5483426,242.7923919,6516.0,2.04178,3.99366,FP
4.1782656,2.1023854,1.675904,2537.6781602,3442.0,0.404403,4.893,CP
17.9453645,3.3839124,3.0740072,5480.684864,3442.0,0.404403,4.893,CP
13.896396,2.4586343,3.5885605,748.5332881,5522.87,0.888163,4.67156,PC
8.1213102,2.3157186,3.1040945,594.6443745,5522.87,0.888163,4.67156,PC
3.9287851,2.329279,1.8165271,485.9762569,5668.15,0.986943,4.52573,PC
27.3613778,6.4522449,4.0586418,20690.6684294,3050.0,0.44128,4.438,CP
29.0497517,2.84674,7.117,318.0,8208.0,1.8,4.25979,CP
31.8132264,21.6314984,11.2567164,11479.375547,6028.84,1.98893,3.96199,APC
3.3088922,24.9862,6.114,4736.0,6188.0,2.62,4.27166,CP
25.0571312,3.2396838,7.5424225,533.486013,5696.0,1.15281,4.26563,CP
24.2454967,3.878568,3.3725583,6260.6703602,3535.0,0.465271,4.84874,CP
14.2545623,10.7048234,4.7250029,7899.6939555,5739.0,1.09597,4.28235,PC
14.1758947,2.6231641,3.7543827,907.1324529,5723.87,0.864173,4.438,CP
19.5901578,3.0026428,4.002861,1182.6678641,5723.87,0.864173,4.438,CP
6.2036219,2.056748,3.01098,548.9044399,5723.87,0.864173,4.438,CP
3.79589,1.553135,2.4602856,317.5272928,5723.87,0.864173,4.438,CP
2.2645386,5.1936764,3.8193701,15019.9420903,3443.0,0.411471,4.81617,FP
3.4447015,2.00495,1.912,796.0,3912.0,0.63,4.62642,CP
3.0300715,12.7529892,2.5466671,21794.6136956,5242.82,0.857369,4.52404,KP
12.72038,4.96046,2.401,1070.0,6212.0,1.48,4.17664,KP
6.238755,2.9728283,3.6178567,373.5681138,6212.0,1.47768,4.17664,KP
3.2947689,2.5248559,1.7483103,1324.0402774,3853.0,0.62326,4.63168,CP
0.7645807,1.2407226,1.07057,394.9832006,3853.0,0.62326,4.63168,CP
12.6396982,4.6025162,3.3830702,3292.6812864,5217.0,0.789425,4.59186,CP
1.8428078,21.2705,1.449,1950.0,5080.0,4.09,4.48159,APC
1.7208555,13.4646314,1.8346409,10014.2587401,5832.83,1.33402,4.20893,KP
4.7802597,7.6126429,1.4588658,1015.4550043,5826.0,2.3387201,3.7213,PC
