Orbital Period,Planetary Radius,Transit Duration,Transit Depth,Star’s Effective Temperature (Kelvin),Star’s Radius (in solar radii),Star’s Surface Gravity (log10(cm/s²))
190.3200468,7.78,15.284,1141.7,5626.0,2.057,3.907
2.861159894,4.37,1.8832,1014.3,6126.0,1.021,4.458
26.44439337,3.91,3.9783,1843.5,5427.0,0.929,4.463
51.53997972,5.51,6.3994,3644.3,5427.0,0.929,4.463
5.902245782,2.43,2.9003,702.3,5427.0,0.929,4.463
2.382951591,1.86,1.8876,391.6,5427.0,0.929,4.463
21.02250608,3.07,4.1072,1772.5,5067.0,0.75,4.585
3.219814777,1.69,2.0642,488.2,5103.0,0.787,4.562
5.912273234,1.73,2.3254,961.4,4072.0,0.57,4.696
8.98581901,1.65,2.8606,881.3,4072.0,0.57,4.696
12.940668656,22.94,2.4845,42450.0,5875.0,0.809,4.572
20.5452375,2.41,2.517,218.5,5670.0,1.264,4.206
33.60123371,8.46,4.4056,7425.9,5149.0,0.93,4.447
6.76652928,1.97,2.9004,450.7,5149.0,0.93,4.447
4.347288783,2.36,2.1024,451.6,5754.0,1.122,4.345
4.601811819,2.35,2.2607,755.9,4986.0,0.833,4.496
11.18719905,1.55,3.252,353.6,4986.0,0.833,4.496
4.220965778,2.62,3.0854,2260.0,3837.0,0.517,4.747
6.998099523,588.66,2.0488,20285.0,5612.0,0.829,4.566
5.95489993,2.33,2.3892,1410.7,4261.0,0.633,4.641
12.03987488,2.18,2.7363,1250.6,4261.0,0.633,4.641
20.83762895,1.42,2.3734,439.0,4261.0,0.633,4.641
8.8111022,63.66,5.0683,401.1,6200.0,2.404,3.8
23.58917143,3.16,5.073,1200.7,4919.0,0.721,4.566
6.481633073,2.54,3.784,298.5,5945.0,1.302,4.213
10.37168928,3.2,3.035,1254.9,5121.0,0.888,4.457
3.96996298,1.78,1.1757,299.2,5121.0,0.888,4.457
4.40841331,2.66,5.012,549.4,6007.0,0.961,4.457
7.9426176,4.68,6.703,1590.7,5811.0,0.926,4.521
226.8904775,4.53,7.558,3136.4,5067.0,0.75,4.585
1.956811408,21.58,2.1958,24905.0,5209.0,0.603,4.657
2.688899233,12.04,2.11275,37492.0,4820.0,0.639,4.667
9.439459486,4.16,2.8979,3036.1,5097.0,0.779,4.597
11.523067458,3.13,3.8757,507.3,5644.0,1.411,4.162
20.47748843,2.92,2.8364,1382.4,5097.0,0.779,4.597
3.336123113,1.74,1.9616,516.3,5097.0,0.779,4.597
8.01078456,1.72,2.312,1333.6,3713.0,0.47,4.779
12.07134205,1.29,4.3224,759.2,3713.0,0.47,4.779
20.99587872,1.3,2.6333,767.3,3713.0,0.47,4.779
7.41113177,2.45,2.5242,620.5,5849.0,0.919,4.517
1.000747038,4.14,0.9967,1823.5,5472.0,0.79,4.499
8.884922995,10.51,2.07004,16053.0,5332.0,0.843,4.5
8.09888906,8.95,4.20241,6911.1,6214.0,1.076,4.442
10.00653012,3.52,5.344,936.1,6063.0,1.001,4.47
17.855221681,13.16,7.41287,9065.2,6823.0,1.367,4.308
12.732624065,4.87,2.2083,6465.7,3950.0,0.541,4.721
83.92494032,4.78,6.7904,7958.7,3960.0,0.509,4.746
5.007316661,6.96,4.2362,6932.3,5865.0,0.827,4.563
2.211116989,1.85,1.6485,724.2,4500.0,0.646,4.656
27.9541337,1.9,3.95,942.5,4500.0,0.646,4.656
12.69104387,2.57,3.7727,252.1,5869.0,1.626,4.024
4.409409243,10.95,3.8636,12861.0,5600.0,0.975,4.368
16.23947096,4.14,4.0374,2590.7,5191.0,0.837,4.564
6.308201629,2.96,2.9785,1328.5,5191.0,0.837,4.564
2.052349884,13.12,2.0778,14281.0,5855.0,1.08,4.393
9.7704486,2.23,2.4517,1897.8,3906.0,0.509,4.73
5.169804269,1.66,2.153,1037.4,3906.0,0.509,4.73
21.22261195,2.48,6.5093,366.0,5945.0,1.302,4.213
20.09017037,2.25,4.154,1432.1,3906.0,0.509,4.73
7.11373257,1.16,2.1764,807.6,3561.0,0.411,4.855
3.306551643,0.91,1.8177,509.2,3561.0,0.411,4.855
15.36845737,1.11,2.4714,756.1,3561.0,0.411,4.855
13.81020318,4.56,3.048,1309.7,5942.0,1.142,4.327
4.093578461,2.85,2.5833,538.6,6077.0,0.999,4.471
105.145959,3.43,8.593,685.4,6077.0,0.999,4.471
10.8484518,2.34,2.9993,1675.6,4201.0,0.591,4.682
6.66833241,1.18,1.915,362.3,4201.0,0.591,4.682
4.082274889,10.55,3.23015,17859.0,5655.0,0.794,4.581
3.886655224,1.87,3.1646,581.6,5662.0,0.738,4.61
42.1406089,1.85,5.083,895.5,4500.0,0.646,4.656
4.617490562,1.62,2.2618,575.8,4500.0,0.646,4.656
10.19849255,1.75,2.4283,634.1,4500.0,0.646,4.656
5.795063956,4.33,3.2496,1692.9,5865.0,0.827,4.563
7.15681552,2.47,2.5882,867.0,5029.0,0.838,4.494
17.64830851,2.43,2.0873,763.3,5029.0,0.838,4.494
4.14810719,1.08,2.535,175.2,5029.0,0.838,4.494
16.51410989,2.72,4.1575,973.5,5527.0,0.866,4.488
30.1329298,3.14,5.172,1015.8,5527.0,0.866,4.488
4.79090809,1.36,2.603,251.3,5527.0,0.866,4.488
31.71981013,3.09,4.819,363.4,5869.0,1.626,4.024
99.6415962,2.64,4.448,952.5,5527.0,0.866,4.488
4.708326451,10.6,3.16114,7912.7,5560.0,1.21,4.246
16.37198661,540.37,3.8449,4147.6,4187.0,0.592,4.656
5.392026903,2.68,2.9804,1151.4,5198.0,0.801,4.589
2.494170338,2.42,1.1221,863.7,5569.0,0.829,4.566
6.491682808,9.66,4.301,7163.3,6123.0,1.107,4.413
3.044770796,24.54,10.0134,1695.0,5525.0,0.753,4.603
